time,ip,gbps
19/01/2021 04:55,72.64.205.7,1.20E-05
19/01/2021 05:05,14.26.5.48,1.21E-05
19/01/2021 03:55,14.21.233.129,1.23E-05
19/01/2021 06:00,14.21.30.224,1.23E-05
19/01/2021 05:35,72.67.147.92,1.24E-05
19/01/2021 05:35,72.67.180.150,1.24E-05
19/01/2021 03:50,72.67.177.241,1.24E-05
19/01/2021 03:50,72.67.180.150,1.24E-05
19/01/2021 06:45,72.64.160.26,1.25E-05
19/01/2021 06:25,72.64.108.15,1.26E-05
19/01/2021 06:40,72.67.173.227,1.26E-05
19/01/2021 06:35,72.67.173.227,1.27E-05
19/01/2021 03:25,14.21.234.182,1.29E-05
19/01/2021 02:55,72.67.209.134,1.29E-05
19/01/2021 06:10,72.64.164.25,1.29E-05
19/01/2021 03:05,14.21.30.224,1.31E-05
19/01/2021 03:00,72.64.135.31,1.31E-05
19/01/2021 04:10,14.21.30.224,1.32E-05
19/01/2021 06:20,14.26.0.47,1.32E-05
19/01/2021 07:05,72.64.205.5,1.32E-05
19/01/2021 02:25,72.67.173.227,1.32E-05
19/01/2021 07:45,72.64.204.5,1.32E-05
19/01/2021 07:45,14.21.30.224,1.32E-05
19/01/2021 05:10,72.67.180.150,1.36E-05
19/01/2021 05:10,14.21.234.83,1.36E-05
19/01/2021 06:50,14.21.67.205,1.36E-05
19/01/2021 07:30,72.67.173.227,1.39E-05
19/01/2021 05:00,14.21.30.224,1.40E-05
19/01/2021 05:40,72.67.180.150,1.41E-05
19/01/2021 03:55,14.21.30.224,1.41E-05
19/01/2021 06:00,72.64.160.26,1.41E-05
19/01/2021 04:05,14.21.30.224,1.43E-05
19/01/2021 05:55,14.21.67.205,1.44E-05
19/01/2021 05:55,72.64.96.15,1.44E-05
19/01/2021 07:25,72.67.173.227,1.44E-05
19/01/2021 07:25,72.64.108.15,1.44E-05
19/01/2021 01:55,72.67.72.227,1.44E-05
19/01/2021 05:45,72.64.108.15,1.44E-05
19/01/2021 02:45,14.21.30.224,1.45E-05
19/01/2021 02:15,14.21.30.224,1.45E-05
19/01/2021 02:15,14.26.1.47,1.45E-05
19/01/2021 01:45,72.64.108.15,1.47E-05
19/01/2021 01:45,14.21.30.224,1.47E-05
19/01/2021 03:35,72.67.69.197,1.48E-05
19/01/2021 03:35,72.67.173.227,1.48E-05
19/01/2021 01:30,72.64.161.26,1.50E-05
19/01/2021 08:00,72.64.204.5,1.50E-05
19/01/2021 08:00,72.64.161.26,1.50E-05
19/01/2021 02:40,72.64.160.26,1.51E-05
19/01/2021 01:25,72.67.72.227,1.51E-05
19/01/2021 01:25,72.64.205.7,1.51E-05
19/01/2021 02:35,72.67.173.227,1.52E-05
19/01/2021 02:35,72.64.109.15,1.52E-05
19/01/2021 07:55,72.67.173.227,1.52E-05
19/01/2021 01:20,72.67.173.227,1.57E-05
19/01/2021 05:00,72.64.134.31,1.59E-05
19/01/2021 05:20,14.21.30.224,1.61E-05
19/01/2021 05:20,72.67.180.150,1.61E-05
19/01/2021 06:30,14.21.30.224,1.61E-05
19/01/2021 08:35,72.67.173.227,1.62E-05
19/01/2021 05:30,72.67.180.150,1.63E-05
19/01/2021 08:40,14.21.234.82,1.63E-05
19/01/2021 07:15,72.67.180.150,1.63E-05
19/01/2021 08:30,14.26.0.47,1.63E-05
19/01/2021 08:30,72.64.160.26,1.63E-05
19/01/2021 02:15,72.67.180.150,1.64E-05
19/01/2021 07:25,72.64.204.5,1.66E-05
19/01/2021 07:25,72.64.109.15,1.66E-05
19/01/2021 08:55,72.67.173.227,1.67E-05
19/01/2021 06:10,72.67.180.150,1.68E-05
19/01/2021 08:20,72.67.173.227,1.71E-05
19/01/2021 07:45,72.67.180.150,1.72E-05
19/01/2021 08:00,72.64.129.27,1.73E-05
19/01/2021 23:50,14.21.30.224,1.73E-05
19/01/2021 07:40,72.67.173.227,1.73E-05
19/01/2021 07:50,14.21.233.130,1.74E-05
19/01/2021 02:30,72.67.173.227,1.76E-05
19/01/2021 03:15,72.67.161.192,1.78E-05
19/01/2021 02:00,14.21.30.224,1.81E-05
19/01/2021 00:45,14.21.30.224,1.81E-05
19/01/2021 02:20,72.64.94.185,1.83E-05
19/01/2021 23:35,14.21.234.55,1.84E-05
19/01/2021 13:10,72.67.215.250,1.84E-05
19/01/2021 17:05,14.21.30.224,1.84E-05
19/01/2021 12:50,72.67.169.70,1.85E-05
19/01/2021 07:15,72.64.204.5,1.85E-05
19/01/2021 11:00,72.67.147.92,1.86E-05
